instant,tanggal,musim,tahun,bulan,jam,hari_libur,seminggu,kondisi_cuaca,suhu,atemp,kelembaban,kecepatan_angin,casual,registered,total_penyewa,kategori_hari,kategori_kelembaban
1,2011-01-01,Semi,2011,Jan,0,0,Sabtu,Cerah,0.24,0.2879,81.0,0.0,3,13,16,Weekend,Terlalu lembab
2,2011-01-01,Semi,2011,Jan,1,0,Sabtu,Cerah,0.22,0.2727,80.0,0.0,8,32,40,Weekend,Terlalu lembab
3,2011-01-01,Semi,2011,Jan,2,0,Sabtu,Cerah,0.22,0.2727,80.0,0.0,5,27,32,Weekend,Terlalu lembab
4,2011-01-01,Semi,2011,Jan,3,0,Sabtu,Cerah,0.24,0.2879,75.0,0.0,3,10,13,Weekend,Terlalu lembab
5,2011-01-01,Semi,2011,Jan,4,0,Sabtu,Cerah,0.24,0.2879,75.0,0.0,0,1,1,Weekend,Terlalu lembab
6,2011-01-01,Semi,2011,Jan,5,0,Sabtu,Berawan,0.24,0.2576,75.0,0.0896,0,1,1,Weekend,Terlalu lembab
7,2011-01-01,Semi,2011,Jan,6,0,Sabtu,Cerah,0.22,0.2727,80.0,0.0,2,0,2,Weekend,Terlalu lembab
8,2011-01-01,Semi,2011,Jan,7,0,Sabtu,Cerah,0.2,0.2576,86.0,0.0,1,2,3,Weekend,Terlalu lembab
9,2011-01-01,Semi,2011,Jan,8,0,Sabtu,Cerah,0.24,0.2879,75.0,0.0,1,7,8,Weekend,Terlalu lembab
10,2011-01-01,Semi,2011,Jan,9,0,Sabtu,Cerah,0.32,0.3485,76.0,0.0,8,6,14,Weekend,Terlalu lembab
11,2011-01-01,Semi,2011,Jan,10,0,Sabtu,Cerah,0.38,0.3939,76.0,0.2537,12,24,36,Weekend,Terlalu lembab
12,2011-01-01,Semi,2011,Jan,11,0,Sabtu,Cerah,0.36,0.3333,81.0,0.2836,26,30,56,Weekend,Terlalu lembab
13,2011-01-01,Semi,2011,Jan,12,0,Sabtu,Cerah,0.42,0.4242,77.0,0.2836,29,55,84,Weekend,Terlalu lembab
14,2011-01-01,Semi,2011,Jan,13,0,Sabtu,Berawan,0.46,0.4545,72.0,0.2985,47,47,94,Weekend,Terlalu lembab
15,2011-01-01,Semi,2011,Jan,14,0,Sabtu,Berawan,0.46,0.4545,72.0,0.2836,35,71,106,Weekend,Terlalu lembab
16,2011-01-01,Semi,2011,Jan,15,0,Sabtu,Berawan,0.44,0.4394,77.0,0.2985,40,70,110,Weekend,Terlalu lembab
17,2011-01-01,Semi,2011,Jan,16,0,Sabtu,Berawan,0.42,0.4242,82.0,0.2985,41,52,93,Weekend,Terlalu lembab
18,2011-01-01,Semi,2011,Jan,17,0,Sabtu,Berawan,0.44,0.4394,82.0,0.2836,15,52,67,Weekend,Terlalu lembab
19,2011-01-01,Semi,2011,Jan,18,0,Sabtu,Hujan/Salju_ringan,0.42,0.4242,88.0,0.2537,9,26,35,Weekend,Terlalu lembab
20,2011-01-01,Semi,2011,Jan,19,0,Sabtu,Hujan/Salju_ringan,0.42,0.4242,88.0,0.2537,6,31,37,Weekend,Terlalu lembab
21,2011-01-01,Semi,2011,Jan,20,0,Sabtu,Berawan,0.4,0.4091,87.0,0.2537,11,25,36,Weekend,Terlalu lembab
22,2011-01-01,Semi,2011,Jan,21,0,Sabtu,Berawan,0.4,0.4091,87.0,0.194,3,31,34,Weekend,Terlalu lembab
23,2011-01-01,Semi,2011,Jan,22,0,Sabtu,Berawan,0.4,0.4091,94.0,0.2239,11,17,28,Weekend,Terlalu lembab
24,2011-01-01,Semi,2011,Jan,23,0,Sabtu,Berawan,0.46,0.4545,88.0,0.2985,15,24,39,Weekend,Terlalu lembab
25,2011-01-02,Semi,2011,Jan,0,0,Minggu,Berawan,0.46,0.4545,88.0,0.2985,4,13,17,Weekend,Terlalu lembab
26,2011-01-02,Semi,2011,Jan,1,0,Minggu,Berawan,0.44,0.4394,94.0,0.2537,1,16,17,Weekend,Terlalu lembab
27,2011-01-02,Semi,2011,Jan,2,0,Minggu,Berawan,0.42,0.4242,100.0,0.2836,1,8,9,Weekend,Terlalu lembab
28,2011-01-02,Semi,2011,Jan,3,0,Minggu,Berawan,0.46,0.4545,94.0,0.194,2,4,6,Weekend,Terlalu lembab
29,2011-01-02,Semi,2011,Jan,4,0,Minggu,Berawan,0.46,0.4545,94.0,0.194,2,1,3,Weekend,Terlalu lembab
30,2011-01-02,Semi,2011,Jan,6,0,Minggu,Hujan/Salju_ringan,0.42,0.4242,77.0,0.2985,0,2,2,Weekend,Terlalu lembab
31,2011-01-02,Semi,2011,Jan,7,0,Minggu,Berawan,0.4,0.4091,76.0,0.194,0,1,1,Weekend,Terlalu lembab
32,2011-01-02,Semi,2011,Jan,8,0,Minggu,Hujan/Salju_ringan,0.4,0.4091,71.0,0.2239,0,8,8,Weekend,Terlalu lembab
33,2011-01-02,Semi,2011,Jan,9,0,Minggu,Berawan,0.38,0.3939,76.0,0.2239,1,19,20,Weekend,Terlalu lembab
34,2011-01-02,Semi,2011,Jan,10,0,Minggu,Berawan,0.36,0.3485,81.0,0.2239,7,46,53,Weekend,Terlalu lembab
35,2011-01-02,Semi,2011,Jan,11,0,Minggu,Berawan,0.36,0.3333,71.0,0.2537,16,54,70,Weekend,Terlalu lembab
36,2011-01-02,Semi,2011,Jan,12,0,Minggu,Berawan,0.36,0.3333,66.0,0.2985,20,73,93,Weekend,Terlalu lembab
37,2011-01-02,Semi,2011,Jan,13,0,Minggu,Berawan,0.36,0.3485,66.0,0.1343,11,64,75,Weekend,Terlalu lembab
38,2011-01-02,Semi,2011,Jan,14,0,Minggu,Hujan/Salju_ringan,0.36,0.3485,76.0,0.194,4,55,59,Weekend,Terlalu lembab
39,2011-01-02,Semi,2011,Jan,15,0,Minggu,Hujan/Salju_ringan,0.34,0.3333,81.0,0.1642,19,55,74,Weekend,Terlalu lembab
40,2011-01-02,Semi,2011,Jan,16,0,Minggu,Hujan/Salju_ringan,0.34,0.3333,71.0,0.1642,9,67,76,Weekend,Terlalu lembab
41,2011-01-02,Semi,2011,Jan,17,0,Minggu,Cerah,0.34,0.3333,56.99999999999999,0.194,7,58,65,Weekend,Ideal
42,2011-01-02,Semi,2011,Jan,18,0,Minggu,Berawan,0.36,0.3333,46.0,0.3284,10,43,53,Weekend,Ideal
43,2011-01-02,Semi,2011,Jan,19,0,Minggu,Cerah,0.32,0.2879,42.0,0.4478,1,29,30,Weekend,Terlalu kering
44,2011-01-02,Semi,2011,Jan,20,0,Minggu,Cerah,0.3,0.2727,39.0,0.3582,5,17,22,Weekend,Terlalu kering
45,2011-01-02,Semi,2011,Jan,21,0,Minggu,Cerah,0.26,0.2273,44.0,0.3284,11,20,31,Weekend,Terlalu kering
46,2011-01-02,Semi,2011,Jan,22,0,Minggu,Cerah,0.24,0.2121,44.0,0.2985,0,9,9,Weekend,Terlalu kering
47,2011-01-02,Semi,2011,Jan,23,0,Minggu,Cerah,0.22,0.2273,47.0,0.1642,0,8,8,Weekend,Ideal
48,2011-01-03,Semi,2011,Jan,0,0,Senin,Cerah,0.22,0.197,44.0,0.3582,0,5,5,Weekdays,Terlalu kering
49,2011-01-03,Semi,2011,Jan,1,0,Senin,Cerah,0.2,0.1667,44.0,0.4179,0,2,2,Weekdays,Terlalu kering
50,2011-01-03,Semi,2011,Jan,4,0,Senin,Cerah,0.16,0.1364,47.0,0.3881,0,1,1,Weekdays,Ideal
51,2011-01-03,Semi,2011,Jan,5,0,Senin,Cerah,0.16,0.1364,47.0,0.2836,0,3,3,Weekdays,Ideal
52,2011-01-03,Semi,2011,Jan,6,0,Senin,Cerah,0.14,0.1061,50.0,0.3881,0,30,30,Weekdays,Ideal
53,2011-01-03,Semi,2011,Jan,7,0,Senin,Cerah,0.14,0.1364,50.0,0.194,1,63,64,Weekdays,Ideal
54,2011-01-03,Semi,2011,Jan,8,0,Senin,Cerah,0.14,0.1212,50.0,0.2836,1,153,154,Weekdays,Ideal
55,2011-01-03,Semi,2011,Jan,9,0,Senin,Cerah,0.16,0.1364,43.0,0.3881,7,81,88,Weekdays,Terlalu kering
56,2011-01-03,Semi,2011,Jan,10,0,Senin,Cerah,0.18,0.1667,43.0,0.2537,11,33,44,Weekdays,Terlalu kering
57,2011-01-03,Semi,2011,Jan,11,0,Senin,Cerah,0.2,0.1818,40.0,0.3284,10,41,51,Weekdays,Terlalu kering
58,2011-01-03,Semi,2011,Jan,12,0,Senin,Cerah,0.22,0.2121,35.0,0.2985,13,48,61,Weekdays,Terlalu kering
59,2011-01-03,Semi,2011,Jan,13,0,Senin,Cerah,0.24,0.2121,35.0,0.2836,8,53,61,Weekdays,Terlalu kering
60,2011-01-03,Semi,2011,Jan,14,0,Senin,Cerah,0.26,0.2424,30.0,0.2836,11,66,77,Weekdays,Terlalu kering
61,2011-01-03,Semi,2011,Jan,15,0,Senin,Cerah,0.26,0.2424,30.0,0.2537,14,58,72,Weekdays,Terlalu kering
62,2011-01-03,Semi,2011,Jan,16,0,Senin,Cerah,0.26,0.2424,30.0,0.2537,9,67,76,Weekdays,Terlalu kering
63,2011-01-03,Semi,2011,Jan,17,0,Senin,Cerah,0.24,0.2273,30.0,0.2239,11,146,157,Weekdays,Terlalu kering
64,2011-01-03,Semi,2011,Jan,18,0,Senin,Cerah,0.24,0.2576,32.0,0.1045,9,148,157,Weekdays,Terlalu kering
65,2011-01-03,Semi,2011,Jan,19,0,Senin,Cerah,0.2,0.2576,47.0,0.0,8,102,110,Weekdays,Ideal
66,2011-01-03,Semi,2011,Jan,20,0,Senin,Cerah,0.2,0.2273,47.0,0.1045,3,49,52,Weekdays,Ideal
67,2011-01-03,Semi,2011,Jan,21,0,Senin,Cerah,0.18,0.197,64.0,0.1343,3,49,52,Weekdays,Ideal
68,2011-01-03,Semi,2011,Jan,22,0,Senin,Cerah,0.14,0.1515,69.0,0.1343,0,20,20,Weekdays,Terlalu lembab
69,2011-01-03,Semi,2011,Jan,23,0,Senin,Cerah,0.18,0.2121,55.00000000000001,0.1045,1,11,12,Weekdays,Ideal
